store,brand,week,logmove,constant,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,deal,feat,profit,move,week_start
2,1,40,9.0186954877,1,0.06046875,0.060496528099999995,0.04203125,0.02953125,0.04953125,0.0530208333,0.03890625,0.04140625,0.02890625,0.02484375,0.038984375,1,0.0,37.9923255813953,8256,1990-06-14
2,1,46,8.7232312748,1,0.06046875,0.0603125,0.04515625,0.04671875,0.04953125,0.0478125,0.04578125,0.02796875,0.04296875,0.04203125,0.038984375,0,0.0,30.126666666666697,6144,1990-07-26
2,1,47,8.253227645599999,1,0.06046875,0.0603125,0.04515625,0.04671875,0.03734375,0.0530208333,0.04578125,0.04140625,0.048125,0.03265625,0.038984375,0,0.0,30.0,3840,1990-08-02
2,1,48,8.987196820700001,1,0.06046875,0.0603125,0.04984375,0.03734375,0.04953125,0.0530208333,0.04578125,0.04140625,0.04234375,0.03265625,0.038984375,0,0.0,29.95,8000,1990-08-09
2,1,50,9.0933570165,1,0.06046875,0.0603125,0.04359375,0.03109375,0.04953125,0.0530208333,0.046647870099999995,0.04140625,0.04234375,0.03265625,0.038203125,0,0.0,29.92,8896,1990-08-23
2,1,51,8.8773819547,1,0.06046875,0.0603125,0.04359375,0.04671875,0.04953125,0.0530208333,0.046456425700000005,0.03578125,0.04234375,0.02953125,0.038203125,0,0.0,29.92,7168,1990-08-30
2,1,52,9.2946815204,1,0.05140625,0.0603125,0.04359375,0.04671875,0.04953125,0.0530208333,0.04796875,0.03578125,0.03109375,0.02953125,0.038984375,1,0.0,27.125470588235302,10880,1990-09-06
2,1,53,8.954673629,1,0.05140625,0.0603125,0.04984375,0.04671875,0.03421875,0.0530208333,0.04796875,0.03578125,0.03109375,0.02953125,0.038984375,1,0.0,27.1250413223141,7744,1990-09-13
2,1,54,9.0492322116,1,0.05140625,0.0603125,0.04984375,0.03734375,0.04953125,0.0530208333,0.04796875,0.03828125,0.048125,0.02796875,0.035078125,1,0.0,27.082481203007497,8512,1990-09-20
2,1,57,8.613230379600001,1,0.05140625,0.0603125,0.04828125,0.04671875,0.03109375,0.0530208333,0.03109375,0.04140625,0.04234375,0.04203125,0.038984375,1,0.0,27.061162790697697,5504,1990-10-11
2,1,58,8.6806716604,1,0.055625,0.0478125,0.04671875,0.04671875,0.0465736916,0.0530208333,0.04796875,0.04203125,0.03109375,0.019375,0.038984375,1,0.0,29.521086956521696,5888,1990-10-18
2,1,59,9.0340804066,1,0.055625,0.0603125,0.04671875,0.03109375,0.04953125,0.0530208333,0.04796875,0.03890625,0.03109375,0.02484375,0.038984375,1,0.0,31.2997709923664,8384,1990-10-25
2,1,60,8.6914825765,1,0.055625,0.0603125,0.04671875,0.04671875,0.03109375,0.0467708333,0.04796875,0.03890625,0.03109375,0.02484375,0.038984375,0,0.0,31.3259139784946,5952,1990-11-01
2,1,61,8.8317119178,1,0.055625,0.0603125,0.04671875,0.03109375,0.04953125,0.0467708333,0.04796875,0.04203125,0.048125,0.02015625,0.038203125,1,0.0,31.419906542056104,6848,1990-11-08
